steps,rollout,stage,mean_return,mean_episode_length,policy_loss,value_loss,entropy,grad_norm
104448,102,1,43.1484,5424.6,-0.0,0.388108,0.990716,0.10564
105472,103,1,43.1484,5424.6,0.0,0.229362,0.990549,0.064329
106496,104,1,43.1484,5424.6,0.0,0.214099,0.990832,0.039908
107520,105,1,43.1484,5424.6,-0.0,0.333122,0.990765,0.061894
108544,106,1,43.0947,5391.8,-0.0,0.38246,0.989882,0.170785
109568,107,1,43.0947,5391.8,0.0,0.205866,0.99088,0.030426
110592,108,1,43.0947,5391.8,-0.0,0.258106,0.990733,0.090813
111616,109,1,43.0947,5391.8,0.0,0.342701,0.991091,0.130536
112640,110,1,43.0947,5391.8,-0.0,0.250947,0.991028,0.067331
113664,111,1,43.1352,5369.3,-0.0,0.233311,0.990571,0.048548
114688,112,1,43.1352,5369.3,-0.0,0.234552,0.990395,0.067461
115712,113,1,43.1352,5369.3,-0.0,0.260436,0.990708,0.021771
116736,114,1,43.1352,5369.3,0.0,0.344926,0.990417,0.141338
117760,115,1,43.1352,5369.3,0.0,0.30611,0.990437,0.066281
118784,116,1,43.1668,5362.9,0.0,0.227056,0.99092,0.085644
119808,117,1,43.1668,5362.9,0.0,0.244536,0.991154,0.014914
120832,118,1,43.1668,5362.9,0.0,0.32713,0.990837,0.072893
121856,119,1,43.1668,5362.9,0.0,0.242418,0.99105,0.05274
122880,120,1,43.1668,5362.9,-0.0,0.24186,0.989763,0.016371
123904,121,1,43.0993,5361.1,0.0,0.272186,0.990378,0.100974
124928,122,1,43.0993,5361.1,-0.0,0.203493,0.990773,0.045331
125952,123,1,43.0993,5361.1,0.0,0.401964,0.990788,0.139463
126976,124,1,43.0993,5361.1,-0.0,0.155593,0.990525,0.026239
128000,125,1,43.0993,5361.1,-0.0,0.277804,0.990559,0.085327
129024,126,1,43.1277,5343.6,-0.0,0.227416,0.990415,0.083153
130048,127,1,43.1277,5343.6,-0.0,0.30909,0.990294,0.061221
131072,128,1,43.1277,5343.6,0.0,0.341147,0.990543,0.105696
132096,129,1,43.1277,5343.6,0.0,0.208237,0.99077,0.021036
133120,130,1,43.1277,5343.6,0.0,0.211,0.990673,0.03747
134144,131,1,43.233,5349.0,-0.0,0.203865,0.991512,0.012141
135168,132,1,43.233,5349.0,0.0,0.229146,0.990757,0.04249
136192,133,1,43.233,5349.0,0.0,0.306477,0.990468,0.085854
137216,134,1,43.233,5349.0,0.0,0.229445,0.990153,0.058797
138240,135,1,43.233,5349.0,-0.0,0.503947,0.989916,0.123216
139264,136,1,43.119,5319.8,-0.0,0.172387,0.990138,0.021814
140288,137,1,43.119,5319.8,-0.0,0.2126,0.990397,0.029971
